"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"04-Oct-2021","EQ","3,080.50","3,162.00","3,073.60","3,080.55","3,131.00","3,129.55","3,134.84","3,250.20","2,311.10","75,577","23,69,21,459.50","9,071"
"01-Oct-2021","EQ","3,075.00","3,114.70","3,026.45","3,085.50","3,077.20","3,080.55","3,064.03","3,250.20","2,311.10","1,54,865","47,45,11,066.50","19,483"
"30-Sep-2021","EQ","3,144.00","3,250.20","3,051.00","3,134.85","3,074.00","3,085.50","3,166.81","3,250.20","2,311.10","4,84,547","1,53,44,66,669.05","27,896"
"29-Sep-2021","EQ","3,107.80","3,185.05","3,082.10","3,107.85","3,131.00","3,134.85","3,144.68","3,226.90","2,311.10","2,42,772","76,34,40,332.35","19,724"
"28-Sep-2021","EQ","3,096.20","3,116.45","3,035.80","3,088.55","3,102.80","3,107.85","3,075.27","3,226.90","2,311.10","1,25,147","38,48,61,378.75","12,787"
"27-Sep-2021","EQ","3,114.00","3,123.80","3,073.00","3,100.10","3,073.05","3,088.55","3,088.21","3,226.90","2,311.10","69,048","21,32,34,697.35","4,521"
"24-Sep-2021","EQ","3,111.00","3,134.50","3,070.15","3,101.05","3,091.00","3,100.10","3,097.36","3,226.90","2,311.10","79,887","24,74,39,010.95","8,887"
"23-Sep-2021","EQ","3,099.30","3,116.95","3,045.05","3,085.50","3,100.65","3,101.05","3,082.22","3,226.90","2,311.10","77,637","23,92,94,550.60","9,311"
"22-Sep-2021","EQ","3,047.50","3,099.90","3,043.60","3,043.60","3,089.75","3,085.50","3,074.72","3,226.90","2,311.10","63,049","19,38,58,269.50","5,626"
"21-Sep-2021","EQ","3,047.50","3,090.00","3,019.25","3,057.85","3,037.25","3,043.60","3,053.61","3,226.90","2,311.10","77,270","23,59,52,634.20","8,175"
"20-Sep-2021","EQ","3,097.20","3,119.45","3,037.55","3,097.20","3,047.50","3,057.85","3,089.79","3,226.90","2,311.10","63,781","19,70,69,683.25","6,719"
"17-Sep-2021","EQ","3,121.95","3,155.00","3,082.00","3,114.25","3,109.40","3,097.20","3,118.29","3,226.90","2,311.10","1,24,770","38,90,69,073.20","13,362"
"16-Sep-2021","EQ","3,125.00","3,165.00","3,102.55","3,122.45","3,104.55","3,114.25","3,135.77","3,226.90","2,311.10","85,400","26,77,94,710.60","9,309"
"15-Sep-2021","EQ","3,139.80","3,139.90","3,107.65","3,133.10","3,135.00","3,122.45","3,121.78","3,226.90","2,311.10","69,058","21,55,83,826.55","7,337"
"14-Sep-2021","EQ","3,129.00","3,143.95","3,105.00","3,126.05","3,119.15","3,133.10","3,128.22","3,226.90","2,311.10","88,648","27,73,10,782.15","6,894"
"13-Sep-2021","EQ","3,098.00","3,136.80","3,076.00","3,108.35","3,112.50","3,126.05","3,116.55","3,226.90","2,311.10","49,785","15,51,57,684.30","6,114"
"09-Sep-2021","EQ","3,085.00","3,115.15","3,060.00","3,100.55","3,099.30","3,108.35","3,086.51","3,226.90","2,311.10","72,201","22,28,49,150.00","7,547"
"08-Sep-2021","EQ","3,104.00","3,111.00","3,049.65","3,094.55","3,091.85","3,100.55","3,081.47","3,226.90","2,311.10","82,154","25,31,54,775.35","9,789"
"07-Sep-2021","EQ","3,144.80","3,146.10","3,065.00","3,130.50","3,098.10","3,094.55","3,098.00","3,226.90","2,311.10","89,092","27,60,06,752.40","11,051"
"06-Sep-2021","EQ","3,195.00","3,199.00","3,121.60","3,189.65","3,130.00","3,130.50","3,157.48","3,226.90","2,311.10","79,109","24,97,85,326.00","8,881"
"03-Sep-2021","EQ","3,151.60","3,226.90","3,140.00","3,143.15","3,171.95","3,189.65","3,190.00","3,226.90","2,311.10","2,21,589","70,68,67,928.65","20,332"
"02-Sep-2021","EQ","3,170.00","3,187.90","3,130.00","3,167.50","3,135.10","3,143.15","3,151.58","3,187.90","2,311.10","94,069","29,64,65,947.10","12,221"
"01-Sep-2021","EQ","3,107.00","3,180.00","3,092.35","3,105.90","3,166.00","3,167.50","3,148.74","3,180.00","2,311.10","1,66,202","52,33,26,839.50","13,319"
"31-Aug-2021","EQ","3,089.20","3,157.90","3,070.40","3,092.40","3,100.00","3,105.90","3,115.00","3,157.90","2,311.10","3,03,454","94,52,60,648.45","18,422"
"30-Aug-2021","EQ","3,055.00","3,129.80","3,040.00","3,046.90","3,091.05","3,092.40","3,089.16","3,144.00","2,311.10","2,69,592","83,28,12,231.00","21,833"
"27-Aug-2021","EQ","3,060.00","3,086.80","3,035.95","3,052.75","3,052.80","3,046.90","3,054.57","3,144.00","2,311.10","85,375","26,07,83,521.25","10,098"
"26-Aug-2021","EQ","3,054.00","3,087.05","3,036.60","3,054.25","3,064.10","3,052.75","3,060.56","3,144.00","2,311.10","1,20,644","36,92,38,421.40","11,251"
"25-Aug-2021","EQ","3,063.00","3,073.80","3,034.80","3,056.55","3,056.35","3,054.25","3,055.90","3,144.00","2,311.10","70,285","21,47,84,005.55","7,433"
"24-Aug-2021","EQ","3,069.00","3,091.50","3,006.80","3,061.95","3,055.00","3,056.55","3,051.69","3,144.00","2,311.10","1,07,024","32,66,04,013.05","7,650"
"23-Aug-2021","EQ","3,046.00","3,070.95","3,000.00","3,036.10","3,060.00","3,061.95","3,048.29","3,144.00","2,311.10","1,01,868","31,05,23,114.95","9,168"
"20-Aug-2021","EQ","3,052.00","3,105.00","2,970.05","3,052.25","3,040.00","3,036.10","3,041.09","3,144.00","2,311.10","2,65,107","80,62,13,494.85","24,024"
"18-Aug-2021","EQ","3,010.75","3,067.95","3,006.25","3,008.05","3,062.00","3,052.25","3,046.18","3,144.00","2,311.10","78,854","24,02,03,739.15","8,563"
"17-Aug-2021","EQ","2,958.00","3,042.15","2,951.75","2,954.85","3,010.75","3,008.05","3,008.78","3,144.00","2,311.10","2,40,714","72,42,54,756.20","23,088"
"16-Aug-2021","EQ","2,973.00","2,988.85","2,920.00","2,963.75","2,956.95","2,954.85","2,949.46","3,144.00","2,311.10","93,978","27,71,84,754.30","7,848"
"13-Aug-2021","EQ","2,911.00","2,975.00","2,854.00","2,911.85","2,959.35","2,963.75","2,919.28","3,144.00","2,311.10","2,37,801","69,42,08,663.10","22,009"
"12-Aug-2021","EQ","2,915.00","2,942.15","2,868.90","2,902.05","2,900.15","2,911.85","2,906.63","3,144.00","2,311.10","2,87,152","83,46,43,855.00","22,160"
"11-Aug-2021","EQ","3,029.00","3,046.60","2,881.45","3,026.65","2,898.90","2,902.05","2,919.64","3,144.00","2,311.10","7,37,709","2,15,38,46,507.90","36,198"
"10-Aug-2021","EQ","3,083.00","3,103.15","2,995.00","3,073.50","3,026.90","3,026.65","3,025.33","3,144.00","2,311.10","2,38,315","72,09,82,436.55","21,135"
"09-Aug-2021","EQ","3,119.00","3,119.00","3,047.70","3,063.95","3,060.05","3,073.50","3,076.35","3,144.00","2,311.10","1,10,093","33,86,84,825.40","9,944"
"06-Aug-2021","EQ","3,066.00","3,073.00","3,033.00","3,056.70","3,073.00","3,063.95","3,055.16","3,144.00","2,311.10","1,19,110","36,38,99,705.40","13,795"
"05-Aug-2021","EQ","3,082.95","3,086.50","3,047.90","3,073.80","3,053.00","3,056.70","3,058.96","3,144.00","2,311.10","58,410","17,86,73,579.80","6,916"
"04-Aug-2021","EQ","3,128.00","3,131.30","3,061.30","3,101.50","3,065.90","3,073.80","3,090.39","3,144.00","2,311.10","87,418","27,01,55,479.10","10,954"
"03-Aug-2021","EQ","3,079.50","3,124.95","3,068.15","3,076.35","3,105.00","3,101.50","3,097.38","3,144.00","2,311.10","85,118","26,36,42,909.25","7,874"
"02-Aug-2021","EQ","3,088.00","3,105.00","3,058.10","3,071.10","3,085.00","3,076.35","3,081.34","3,144.00","2,311.10","1,30,297","40,14,88,714.20","13,095"
"30-Jul-2021","EQ","3,046.20","3,105.75","3,023.65","3,037.40","3,075.00","3,071.10","3,076.39","3,144.00","2,231.85","1,89,894","58,41,87,599.45","14,864"
"29-Jul-2021","EQ","3,100.00","3,101.35","3,006.20","3,084.70","3,032.70","3,037.40","3,039.61","3,144.00","2,231.85","1,42,879","43,42,97,118.00","12,019"
"28-Jul-2021","EQ","3,024.90","3,106.80","2,888.00","3,002.85","3,085.00","3,084.70","3,040.18","3,144.00","2,231.85","9,16,364","2,78,59,08,758.50","59,119"
"27-Jul-2021","EQ","3,096.30","3,144.00","2,960.20","3,079.20","3,011.15","3,002.85","3,046.60","3,144.00","2,231.85","3,89,562","1,18,68,38,619.80","29,242"
"26-Jul-2021","EQ","3,045.00","3,109.00","3,028.00","3,043.20","3,073.15","3,079.20","3,074.40","3,109.00","2,231.85","2,63,353","80,96,52,810.65","25,174"
"23-Jul-2021","EQ","3,012.00","3,069.00","2,995.95","3,013.55","3,045.00","3,043.20","3,040.01","3,085.60","2,231.85","2,28,574","69,48,66,123.60","18,299"
"22-Jul-2021","EQ","2,982.35","3,017.90","2,955.00","2,961.50","3,009.10","3,013.55","2,997.40","3,085.60","2,231.85","1,37,567","41,23,43,610.10","12,499"
"20-Jul-2021","EQ","2,960.00","3,013.80","2,945.00","2,969.20","2,960.00","2,961.50","2,978.29","3,085.60","2,231.85","1,26,619","37,71,08,482.80","11,500"
"19-Jul-2021","EQ","2,985.00","3,003.50","2,954.50","2,990.75","2,972.00","2,969.20","2,976.93","3,085.60","2,231.85","94,987","28,27,69,329.80","6,457"
"16-Jul-2021","EQ","2,991.00","3,032.00","2,978.40","3,001.30","2,988.00","2,990.75","2,996.36","3,085.60","2,231.85","1,58,918","47,61,76,152.60","13,070"
"15-Jul-2021","EQ","3,015.00","3,046.55","2,994.05","3,011.65","2,995.00","3,001.30","3,021.18","3,085.60","2,231.85","99,451","30,04,59,003.75","12,073"
"14-Jul-2021","EQ","3,005.00","3,028.20","2,987.20","3,015.45","3,010.00","3,011.65","3,007.79","3,085.60","2,231.85","1,21,400","36,51,45,622.45","12,008"
"13-Jul-2021","EQ","3,030.00","3,085.60","2,997.50","3,012.70","3,010.55","3,015.45","3,041.77","3,085.60","2,231.85","3,84,241","1,16,87,71,019.45","26,508"
"12-Jul-2021","EQ","3,017.00","3,029.90","2,992.00","3,005.05","3,009.25","3,012.70","3,010.54","3,035.00","2,231.85","85,161","25,63,80,532.80","7,216"
"09-Jul-2021","EQ","2,944.50","3,014.00","2,924.00","2,945.50","3,002.15","3,005.05","2,990.53","3,035.00","2,231.85","2,83,378","84,74,49,252.30","22,964"
"08-Jul-2021","EQ","2,949.10","2,977.50","2,932.20","2,949.55","2,940.00","2,945.50","2,953.30","3,035.00","2,231.85","1,19,434","35,27,24,231.80","17,522"
