,,Torrent Pharmaceuticals Ltd.,,,,Nifty 50,,
DATE,,PREV. CLOSE,CLOSE,Daily Return,,OPEN,CLOSE,Daily Return %
26-04-2024,,2694.3,2691,-0.122480793,,22620.4,22419.95,-0.886147018
25-04-2024,,2686.45,2694.3,0.292207188,,22316.9,22570.35,1.135686408
24-04-2024,,2637.4,2686.45,1.859786153,,22421.55,22402.4,-0.085408903
23-04-2024,,2591.9,2637.4,1.755468961,,22447.05,22368,-0.352162088
22-04-2024,,2539.4,2591.9,2.0674175,,22336.9,22336.4,-0.002238448
19-04-2024,,2546.85,2539.4,-0.292518209,,21861.5,22147,1.305948814
18-04-2024,,2537.6,2546.85,0.364517654,,22212.35,21995.85,-0.974683003
16-04-2024,,2519.85,2537.6,0.704407008,,22125.3,22147.9,0.102145508
15-04-2024,,2577.7,2519.85,-2.244248749,,22339.05,22272.5,-0.297908819
12-04-2024,,2578.95,2577.7,-0.048469338,,22677.4,22519.4,-0.696728902
10-04-2024,,2578.1,2578.95,0.032970017,,22720.25,22753.8,0.147665629
09-04-2024,,2597.3,2578.1,-0.7392292,,22765.1,22642.75,-0.537445476
08-04-2024,,2577.1,2597.3,0.783826782,,22578.35,22666.3,0.38953245
05-04-2024,,2537.55,2577.1,1.558589979,,22486.4,22513.7,0.121406717
04-04-2024,,2588.65,2537.55,-1.974001893,,22592.1,22514.65,-0.34281895
03-04-2024,,2668.55,2588.65,-2.994135392,,22385.7,22434.65,0.218666381
02-04-2024,,2675.35,2668.55,-0.254172351,,22458.8,22453.3,-0.024489287
01-04-2024,,2600.6,2675.35,2.874336692,,22455,22462,0.031173458
28-03-2024,,2572.4,2600.6,1.096252527,,22163.6,22326.9,0.736793662
27-03-2024,,2570.5,2572.4,0.073915581,,22053.95,22123.65,0.316043158
26-03-2024,,2559.8,2570.5,0.418001406,,21947.9,22004.7,0.258794691
22-03-2024,,2554.4,2559.8,0.211399937,,21932.2,22096.75,0.750266731
21-03-2024,,2518.95,2554.4,1.40733242,,21989.9,22011.95,0.100273307
20-03-2024,,2501.5,2518.95,0.697581451,,21843.9,21839.1,-0.021974098
19-03-2024,,2569.65,2501.5,-2.652112155,,21946.45,21817.45,-0.587794381
18-03-2024,,2594.45,2569.65,-0.955886604,,21990.1,22055.7,0.29831606
15-03-2024,,2690.4,2594.45,-3.566384181,,22064.85,22023.35,-0.188081949
14-03-2024,,2663.95,2690.4,0.992886503,,21982.55,22146.65,0.746501202
13-03-2024,,2673.95,2663.95,-0.373978571,,22432.2,21997.7,-1.93694778
12-03-2024,,2697.8,2673.95,-0.884053673,,22334.45,22335.7,0.005596735
11-03-2024,,2664.8,2697.8,1.238366857,,22517.5,22332.65,-0.820917065
07-03-2024,,2691.2,2664.8,-0.98097503,,22505.3,22493.55,-0.052209924
